ano		vol
2003		46.37
2003		63.81
2003		66.13
2003		65.08
2003		61.06
2003		55.19
2003		47.90
2003		39.73
2003		31.49
2003		24.41
2003		19.62
2003		19.56
2004		20.57
2004		23.35
2004		32.82
2004		34.49
2004		35.25
2004		39.76
2004		40.45
2004		39.72
2004		34.95
2004		30.60
2004		29.19
2004		29.82
2005		35.09
2005		46.68
2005		50.52
2005		55.74
2005		55.20
2005		56.82
2005		54.18
2005		49.88
2005		45.19
2005		40.94
2005		38.76
2005		38.66
2006		44.32
2006		51.02
2006		61.47
2006		67.61
2006		66.45
2006		63.32
2006		59.36
2006		54.78
2006		48.27
2006		42.70
2006		36.77
2006		35.35
2007		44.28
2007		50.49
2007		50.19
2007		49.88
2007		47.40
2007		44.88
2007		41.68
2007		41.87
2007		37.07
2007		30.17
2007		31.13
2007		31.77
2008		33.47
2008		40.84
2008		48.03
2008		56.76
2008		62.73
2008		64.00
2008		62.34
2008		59.56
2008		54.81
2008		50.95
2008		48.82
2008		48.68
2009		54.88
2009		68.59
2009		81.62
2009		87.88
2009		87.50
2009		85.66
2009		83.84
2009		82.32
2009		80.70
2009		80.05
2009		80.39
2009		91.28
2010		97.38
2010		96.15
2010		95.92
2010		99.66
2010		99.41
2010		97.81
2010		95.47
2010		92.09
2010		85.77
2010		80.19
2010		74.50
2010		72.99
2011		89.56
2011		88.38
2011		88.30
2011		91.08
2011		93.42
2011		92.08
2011		89.33
2011		84.21
2011		77.85
2011		71.24
2011		67.99
2011		68.19
2012		70.61
2012		76.30
2012		75.31
2012		72.76
2012		73.03
2012		73.16
2012		74.64
2012		71.32
2012		64.62
2012		57.89
2012		52.68
2012		48.22
2013		50.56
2013		55.03
2013		59.21
2013		63.09
2013		60.72
2013		57.77
2013		54.96
2013		50.46
2013		43.78
2013		38.65
2013		33.68
2013		29.76
2014		24.88
2014		18.93
2014		15.13
2014		12.15
2014		17.85
2014		22.91
2014		17.79
2014		13.12
2014		8.93
2014		6.92
2014		10.50
2014		7.45
2015		6.06
2015	        7.84
2015	        15.05
2015	        19.8
2015    	19.67
2015    	20
2015	        19.29

